"filename", "language", "JavaScript", "XML", "Markdown", "JSON", "Docker", "CSS", "HTML", "comment", "blank", "total"
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/pages/Homepage.test.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 1, 8, 52
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/pages/Request.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 8, 9, 33
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/__tests__/pages/UploadYP.test.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 4, 7, 39
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/DdInput.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 4, 72
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/DragAndDrop.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/MainTile.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/Navbar.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/RequestInChat.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/RequestList.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 14, 10, 79
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/components/RouteButton.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/index.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/About.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 8, 9, 53
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/ChatYPExpert.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 2, 9, 57
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/ExpertRequestsList.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 1, 5, 40
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/Homepage.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 7, 43
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/NavbarItem.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 1, 3, 37
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/Request.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 2, 14, 61
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/pages/UploadYP.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 10, 77
"Total", "-", 759, 36, 41, 41397, 6, 666, 20, 124, 317, 43366
